,BM25,TF-IDF,Dirichlet LM,MonoT5,RankVicuna,RankZephyr,BM25+KORSCE,BM25+REdORank,Google,Google+KORSCE,Google+REdORank,Bing,Bing+KORSCE,Bing+REdORank
cRBP@10_q19,0.03456404809877003,0.03456404809877003,0.0054879203605302145,0.03638775149049271,0.03456404809877003,0.042882172311020254,0.0,0.0,0.008722747715512104,0.026619713487280584,0.026619713487280584,0.0,0.0,0.0
cRBP@10_q20,0.08954905646351326,0.08954905646351326,0.0711250890645759,0.10757344645702616,0.08954905646351326,0.18815227161469955,0.006139417636781362,0.0,0.1249868604941287,0.10994671026450129,0.11548839036461793,0.18033809919835175,0.1650096202804666,0.14427129647107742
cRBP@10_q21,0.09426918531470341,0.09426918531470341,0.09864777421272375,0.0730597243366124,0.09426918531470341,0.11314727728804412,0.023784052576147782,0.010969782550982589,0.15388162692024104,0.20149273128015097,0.1851049156865761,0.2368098002838443,0.22591105044390605,0.1792128690002749
cRBP@10_q22,0.18432279069742322,0.18432279069742322,0.16655277587314068,0.1378474020307976,0.18432279069742322,0.07514499732911228,0.0042448013089748625,0.004171806671755325,0.08338594260554714,0.12496576908261038,0.10299078157218237,0.0,0.0,0.0
cRBP@10_q23,0.13408150309184771,0.13408150309184771,0.06204144714197901,0.0913548025784692,0.13408150309184771,0.08357903518489933,0.09494768514666817,0.014695722076536574,0.03922336093181053,0.024028171621417526,0.04052603793350247,0.17136213827611224,0.14841036726837126,0.1355161884077421
cRBP@10_q24,0.20845404079983482,0.20845404079983482,0.21385674131658633,0.11956957250262995,0.20845404079983482,0.1563917364565337,0.10742873038562836,0.0,0.2354619871166351,0.15701286167147566,0.18383097988669614,0.203170819307041,0.1377058199737304,0.17675942258666497
cRBP@10_q25,0.17703415249336182,0.18614146998302028,0.20555209341759345,0.11981244664747405,0.17703415249336182,0.19648388384221174,0.0,0.0,0.09983343397424736,0.06940345901673475,0.06690337775718334,0.0,0.0,0.0
cRBP@10_q26,0.140149416957429,0.13763491922541918,0.1338243125812292,0.13095565114633748,0.140149416957429,0.14416339068598938,0.0,0.0,0.1781976005255804,0.18180893437923623,0.19603683911324987,0.0,0.0,0.0
cRBP@10_q27,0.06973191446596397,0.06973191446596397,0.07453313218726668,0.10286865061520141,0.06973191446596397,0.10338261153997375,0.0,0.0,0.11164050618062626,0.12942985306727423,0.09961875742464586,0.0,0.0,0.0
cRBP@10_q28,0.04650721538747065,0.04650721538747065,0.009248099683908443,0.015001593263619772,0.04650721538747065,0.021372036179172268,0.0248997338509293,0.010060584680884749,0.03236175778178086,0.052769519082440194,0.00845554273524862,0.056931736880481684,0.0829816220279818,0.0692076739499092
cRBP@10_q29,0.06285923936347765,0.06285923936347765,0.05474613213775351,0.016300675008939777,0.06285923936347765,0.02940177350408856,0.006146149994120227,0.0030859702340739086,0.09454100915863203,0.1183551637788351,0.08042591424259297,0.11755409459183853,0.11516070653314144,0.065650827953757
cRBP@10_q30,0.04381944139634724,0.057381395447766256,0.055852058933535655,0.05225783198285052,0.04381944139634724,0.012617506603540949,0.004644832936860181,0.0,0.06380342342127046,0.04212470354801056,0.021423217529197337,0.04982557536086023,0.07185701386562769,0.0500927051468267
cRBP@10_q31,0.07752322462901971,0.06826483725381036,0.0644625625286104,0.06595834808103347,0.07752322462901971,0.023063363440118816,0.0018606822616032085,0.0020432389607076312,0.06046327374388309,0.07937649315130943,0.04997237113668181,0.0,0.0,0.0
cRBP@10_q32,0.06721653312529395,0.06721653312529395,0.0522218265882435,0.04748792330160826,0.06721653312529395,0.06914778059066888,0.02233669949156336,0.02057573261830443,0.07264985854475647,0.08602658520160711,0.056529429559228295,0.07120716910463083,0.06603348591437165,0.053527555798449
cRBP@10_q33,0.04680028463073129,0.04680028463073129,0.050379493663429566,0.07682828219306688,0.04680028463073129,0.02170892539045407,0.0,0.011141013147984115,0.037319981472012854,0.009557751230202527,0.022776191925513535,0.07598867816542348,0.05010483855909166,0.04982794333392397
cRBP@10_q34,0.09400125629268513,0.08490093774941058,0.1520496332132479,0.1304427720554538,0.09400125629268513,0.13022793619297096,0.03033831709594463,0.0,0.1979977905651233,0.12748546434160246,0.16700175248829016,0.15026742279397468,0.10868677509802628,0.1132701350083711
cRBP@10_q35,0.008847230839792969,0.009925903965200905,0.021706393523171563,0.016516211927727842,0.008847230839792969,0.02302573501003793,0.019913543162369107,0.004820975025767405,0.0,0.0,0.0,0.03127597217776676,0.0359011485942785,0.0308297744827623
cRBP@10_q36,0.061547000651786206,0.061547000651786206,0.04320336877923923,0.02824203349362169,0.061547000651786206,0.06516545544559857,0.0,0.0,0.06432145815375298,0.049273309174160645,0.05893603929832412,0.0,0.0,0.0
cRBP@10_q37,0.03770316832486657,0.03770316832486657,0.029197460889194785,0.05060619012674911,0.03770316832486657,0.06450346144405181,0.0,0.004103087083339727,0.023152370655200205,0.013574921167792723,0.014103302218784614,0.051963790675611486,0.07112590688275368,0.04819674219284115
cRBP@10_q38,0.04993919559357877,0.04993919559357877,0.051556679188509855,0.060371961389595184,0.04993919559357877,0.026902969218986855,0.02952382988044883,0.0036167929177554374,0.05648424917215326,0.03920589383584191,0.02549992247752328,0.0530417335521801,0.05165301050426937,0.04627657424138903
cRBP@10_q39,0.06241545224200766,0.06241545224200766,0.07003020795890655,0.048536487197600384,0.06477066287924843,0.046718652418682234,0.03244806027834603,0.002505085440718095,0.09251155257011774,0.07542050051054539,0.06752660594705519,0.06464585911834521,0.10926414533679171,0.08194566393106788
cRBP@10_q40,0.0805150551646055,0.0805150551646055,0.07306458923958373,0.07743427269196022,0.0805150551646055,0.12223441625566187,0.008831423282079151,0.0,0.13168585031972616,0.18160843815442204,0.11663656576599284,0.0959061096667421,0.12320455074812092,0.1076843448987963
cRBP@10_q41,0.02056218385100843,0.02056218385100843,0.013159797664645399,0.0376652838226371,0.02056218385100843,0.04929121701588331,0.0,0.0070744040961535455,0.03443762767694182,0.020087895458996044,0.03284123921353744,0.0,0.0,0.0
cRBP@10_q42,0.12301154989501692,0.12301154989501692,0.12749319706941695,0.044165720677722266,0.12301154989501692,0.10612644879180062,0.003732414905461775,0.0,0.09531579260145549,0.10863930150769541,0.06977847262016271,0.1170488872287241,0.13788459468026043,0.07466723377274483
cRBP@10_q43,0.1635332942022381,0.1635332942022381,0.17823576657709148,0.16197830781428713,0.1635332942022381,0.14543529135534974,0.022148773296543064,0.007805608283905005,0.0547778863193086,0.06261644607408559,0.07726150182305401,0.0999948773810263,0.10582210485791954,0.05124173047695727
cRBP@10_q44,0.1204686534841664,0.12471392158379807,0.1677504331025789,0.2012887278655336,0.1204686534841664,0.19590296690562886,0.0,0.0,0.09291079871227843,0.10886339433442949,0.10137750605696257,0.15079428312337018,0.20090728555944798,0.08044487822260225
cRBP@10_q45,0.016898757532773718,0.016898757532773718,0.03233507146288722,0.024989400669295864,0.016898757532773718,0.03062641069425786,0.0,0.0,0.026933430108607426,0.035745364828647604,0.03654914024516475,0.0,0.0,0.0
cRBP@10_q46,0.004938680997178157,0.003950944797742526,0.0,0.00812371197529745,0.004938680997178157,0.0126796451951943,0.0,0.0,0.021319091410972907,0.021319091410972907,0.02720306681776719,0.03237960993657047,0.03237848250461771,0.007683276644955637
cRBP@10_q47,0.006033392285282505,0.005989336306257835,0.005989336306257835,0.008398753344637145,0.006033392285282505,0.00935497099702516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cRBP@10_q48,0.007339675007443693,0.00964097977694637,0.03030593053654547,0.021712078552986392,0.007339675007443693,0.017107140577010592,0.0,0.0,0.029496415814274386,0.03507503569083884,0.013031543223704983,0.06116191992149491,0.012407877087039925,0.018169573997995382
cRBP@10_q49,0.00635168298818594,0.005081346390548753,0.004385905063131229,0.012405630836300665,0.015507038545375829,0.007939603735232427,0.0,0.0,0.008653715588827065,0.018707551658344493,0.016861285495292835,0.0,0.0,0.0
cRBP@10_q50,0.0,0.0,0.005849606915688462,0.011752558666742446,0.0,0.014281266884005033,0.0,0.0,0.05993919473451787,0.03111877019813467,0.014357497700543323,0.0,0.0,0.0
